No.,식품명,제조사,조사년도,식품분류,식품군,식품코드,자료원,1회제공량,에너지(Kcal),단백질,지질,탄수화물,총당류,나트륨,콜레스테롤,총 포화 지방산,트랜스 지방산
880,노리텐 와사비,티엠글로벌,2017,가공식품,"과자류, 빵류 또는 떡류",P10305,식약처(가공식품)NFPF,30g,52.96,0.58,3.81,4.11,0.1,99,0,-,0.01
881,노리텐 우마시오,티엠글로벌,2017,가공식품,"과자류, 빵류 또는 떡류",P10306,식약처(가공식품)NFPF,30g,52.53,0.62,3.71,4.16,0.08,99,0,-,0.01
882,노리피 팩,효성인터내셔널,2017,가공식품,"과자류, 빵류 또는 떡류",P10307,식약처(가공식품)NFPF,30g,66.6,2.38,3.15,7.2,0.81,79.65,0,-,0
883,노리피 팩,㈜후디아이,2017,가공식품,"과자류, 빵류 또는 떡류",P10308,식약처(가공식품)NFPF,30g,44.55,1.58,2.12,4.81,0.81,53.1,0,-,0
884,노바 멀티그레인 스낵,케이피라인필립스㈜,2017,가공식품,"과자류, 빵류 또는 떡류",P10309,식약처(가공식품)NFPF,30g,42,0.92,1.5,6.23,0.92,21,0,-,0
885,노츠 보이젠베리 쿠키,㈜이마트,2017,가공식품,"과자류, 빵류 또는 떡류",P10310,식약처(가공식품)NFPF,30g,38.25,0.45,1.8,4.95,1.35,19.12,1.12,-,0
886,노츠 스트로베리 쿠키,㈜이마트,2017,가공식품,"과자류, 빵류 또는 떡류",P10311,식약처(가공식품)NFPF,30g,38.25,0.45,1.8,4.95,2.2,19.12,1.12,-,0
887,녹차 와사비 완두콩,MLK푸드시스템,2017,가공식품,"과자류, 빵류 또는 떡류",P10312,식약처(가공식품)NFPF,30g,35.13,1.27,0.99,5.28,1.34,88.39,0,-,0
888,녹차 사탕,티디에프코리아,2017,가공식품,"과자류, 빵류 또는 떡류",P10313,식약처(가공식품)NFPF,10g,3.85,0,0,0.92,0.75,0.15,0,0,0
889,놀이공원 비스켓,커머스파크,2017,가공식품,"과자류, 빵류 또는 떡류",P10314,식약처(가공식품)NFPF,30g,40.32,0.94,1.3,6.26,1.12,24.48,0,-,0
890,농심포스틱 84g,농심,2017,가공식품,"과자류, 빵류 또는 떡류",P10315,식약처(가공식품)NFPF,30g,41.83,0.48,1.57,6.44,0.3,47.38,0,-,0
891,누가텔리 쿠키,천하코퍼레이션,2017,가공식품,"과자류, 빵류 또는 떡류",P10316,식약처(가공식품)NFPF,30g,45.67,0.45,2.47,5.4,2.31,21.38,1.12,-,0
892,누네띠네,삼립식품,2017,가공식품,"과자류, 빵류 또는 떡류",P10317,식약처(가공식품)NFPF,30g,45,0.75,2.25,5.25,1.5,37.5,0,-,0
893,누네띠네 미니,삼립식품,2017,가공식품,"과자류, 빵류 또는 떡류",P10318,식약처(가공식품)NFPF,30g,106.67,0.89,5.78,12.89,1.4,80,2.22,-,0
894,누텔라 앤 고,㈜포라시아,2017,가공식품,"과자류, 빵류 또는 떡류",P10319,식약처(가공식품)NFPF,30g,45.87,0.68,2.42,5.54,5.08,47.77,0,-,0
895,눈꽃핀 쌀과자,대한푸드텍,2017,가공식품,"과자류, 빵류 또는 떡류",P10320,식약처(가공식품)NFPF,30g,42.75,0.5,1.75,6.5,1.52,57.75,0,-,0
896,뉴 베이커리 클래씩 쿠키,야쿠브 엔터프라이지즈(YAQUB Ent),2017,가공식품,"과자류, 빵류 또는 떡류",P10321,식약처(가공식품)NFPF,30g,43.91,0.57,2.32,5.12,0.05,10.09,0,-,0
897,뉴 아지고노미,㈜대산인터내셔널,2017,가공식품,"과자류, 빵류 또는 떡류",P10322,식약처(가공식품)NFPF,30g,38,1.2,1,6,5.8,34,0.54,-,0
898,뉴트로 딸기향 크림 웨하스,영남코프레이션,2017,가공식품,"과자류, 빵류 또는 떡류",P10323,식약처(가공식품)NFPF,30g,49.65,0.58,3.19,4.65,2.61,8.71,0,-,0.15
899,뉴트로 바닐라향 크림 웨하스,영남코프레이션,2017,가공식품,"과자류, 빵류 또는 떡류",P10324,식약처(가공식품)NFPF,30g,50.81,0.58,3.19,4.94,2.66,14.52,0,-,0.15
900,뉴트로 초콜릿향 크림 웨하스,영남코프레이션,2017,가공식품,"과자류, 빵류 또는 떡류",P10325,식약처(가공식품)NFPF,30g,45.29,0.58,2.32,5.52,2.97,14.52,0,-,0.03
901,뉴트리 그레인 블루베리 바,토요무역,2017,가공식품,"과자류, 빵류 또는 떡류",P10326,식약처(가공식품)NFPF,30g,29.19,0.49,0.73,5.84,2.92,26.76,0,-,0
902,뉴트리 그레인 스트로베리 바,토요무역,2017,가공식품,"과자류, 빵류 또는 떡류",P10327,식약처(가공식품)NFPF,30g,29.19,0.49,0.73,5.84,2.68,30.41,0,-,0
903,뉴트리 그레인 씨리얼 바,㈜코스트코코리아,2017,가공식품,"과자류, 빵류 또는 떡류",P10328,식약처(가공식품)NFPF,30g,29.19,0.49,0.73,5.84,2.92,26.76,0,-,0.12
904,뉴트리 그레인 씨리얼 바 블루베리,㈜코스트코코리아,2017,가공식품,"과자류, 빵류 또는 떡류",P10329,식약처(가공식품)NFPF,30g,29.19,0.49,0.73,5.84,1.6,26.76,0,-,0.12
905,뉴트리 그레인 씨리얼 바 스트로베리,㈜코스트코코리아,2017,가공식품,"과자류, 빵류 또는 떡류",P10330,식약처(가공식품)NFPF,30g,29.19,0.49,0.73,5.84,1.6,30.41,0,-,0.12
906,뉴트리 그레인 씨리얼 바 애플 시나몬,㈜코스트코코리아,2017,가공식품,"과자류, 빵류 또는 떡류",P10331,식약처(가공식품)NFPF,30g,29.19,0.49,0.73,5.84,1.08,26.76,0,-,0.12
907,뉴트리 그레인 애플 시나몬 바,토요무역,2017,가공식품,"과자류, 빵류 또는 떡류",P10332,식약처(가공식품)NFPF,30g,29.19,0.49,0.73,5.84,2.92,26.76,0,-,0
908,뉴트리 멀티그레인 비스킷,일신국제무역,2017,가공식품,"과자류, 빵류 또는 떡류",P10333,식약처(가공식품)NFPF,30g,44.7,0.75,1.98,5.97,1.05,31.77,0,-,0
909,니니체 캔디,㈜신세계인터내셔날,2017,가공식품,"과자류, 빵류 또는 떡류",P10334,식약처(가공식품)NFPF,10g,3.75,0,0,0.94,0.54,0,0,0,0
910,니쇼쿠 모나카,오성물산,2017,가공식품,"과자류, 빵류 또는 떡류",P10335,식약처(가공식품)NFPF,30g,27,0.3,0.12,6.3,6,0,0,0,0
911,니코스 혼합과일 맛 캔디,㈜강가의 나무,2017,가공식품,"과자류, 빵류 또는 떡류",P10336,식약처(가공식품)NFPF,10g,3.98,0.03,0.14,2.1,0.75,0.18,0,-,0
912,다바오 바나나칩,㈜대산인터내셔널,2017,가공식품,"과자류, 빵류 또는 떡류",P10337,식약처(가공식품)NFPF,30g,47.7,0.18,2.52,5.94,1.26,0,0,-,0
913,다섯곡물칩,롯데제과,2017,가공식품,"과자류, 빵류 또는 떡류",P10338,식약처(가공식품)NFPF,30g,44.55,0.54,1.89,6.48,1.08,54.45,0,-,0
914,다이제스티브 밀크초콜릿 쿠키,삼경에프에스,2017,가공식품,"과자류, 빵류 또는 떡류",P10340,식약처(가공식품)NFPF,30g,44.1,0.6,2.1,5.7,2.1,36,1.5,-,0
915,다크초콜릿 & 헤이즐넛 쿠키,천하코퍼레이션,2017,가공식품,"과자류, 빵류 또는 떡류",P10341,식약처(가공식품)NFPF,30g,48.83,0.68,2.92,4.95,2.7,25.88,0,-,0
916,다크초콜릿 릴리코이,성인터내셔널코리아 유한회사,2017,가공식품,"과자류, 빵류 또는 떡류",P10342,식약처(가공식품)NFPF,30g,45,0.39,2.35,5.48,1.45,13.7,3.91,-,0
917,다크초콜릿 릴리코이 1차포장,성인터내셔널코리아 유한회사,2017,가공식품,"과자류, 빵류 또는 떡류",P10343,식약처(가공식품)NFPF,30g,45,0.39,2.35,5.48,1.45,13.7,3.91,-,0
918,다크초콜릿 마카다미아,성인터내셔널코리아 유한회사,2017,가공식품,"과자류, 빵류 또는 떡류",P10344,식약처(가공식품)NFPF,30g,55,0.5,3,6.5,3.38,20,5,-,0
919,다크초콜릿 마카다미아 1차포장,성인터내셔널코리아 유한회사,2017,가공식품,"과자류, 빵류 또는 떡류",P10345,식약처(가공식품)NFPF,30g,55,0.5,3,6.5,3.38,20,5,-,0
920,다크초콜릿 코나커피,성인터내셔널코리아 유한회사,2017,가공식품,"과자류, 빵류 또는 떡류",P10346,식약처(가공식품)NFPF,30g,43.04,0.39,2.35,5.09,2.66,15.65,3.91,-,0
921,다크초콜릿 코나커피 1차포장,성인터내셔널코리아 유한회사,2017,가공식품,"과자류, 빵류 또는 떡류",P10347,식약처(가공식품)NFPF,30g,43.04,0.39,2.35,5.09,2.66,15.65,3.91,-,0
922,다크초콜릿 코코넛,성인터내셔널코리아 유한회사,2017,가공식품,"과자류, 빵류 또는 떡류",P10348,식약처(가공식품)NFPF,30g,43.04,0.39,2.35,5.09,3.47,15.65,3.91,-,0
923,다크초콜릿 코코넛 1차포장,성인터내셔널코리아 유한회사,2017,가공식품,"과자류, 빵류 또는 떡류",P10349,식약처(가공식품)NFPF,30g,43.04,0.39,2.35,5.09,3.47,15.65,3.91,-,0
924,다크 트리플초콜릿 마카다미아,성인터내셔널코리아 유한회사,2017,가공식품,"과자류, 빵류 또는 떡류",P10350,식약처(가공식품)NFPF,30g,42.95,0.41,2.45,4.91,3.38,16.36,4.09,-,0
925,다크 트리플초콜릿 마카다미아 1차포장,성인터내셔널코리아 유한회사,2017,가공식품,"과자류, 빵류 또는 떡류",P10351,식약처(가공식품)NFPF,30g,42.95,0.41,2.45,4.91,3.38,16.36,4.09,-,0
926,다크하임,크라운제과,2017,가공식품,"과자류, 빵류 또는 떡류",P10352,식약처(가공식품)NFPF,30g,47.53,0.73,2.57,5.36,3.38,11.99,0.66,-,0.01
927,달콤한 유자쿠키,삼립식품,2017,가공식품,"과자류, 빵류 또는 떡류",P10353,식약처(가공식품)NFPF,30g,60.92,0.55,2.77,8.58,1.66,33.23,2.77,-,0
928,닭다리 핫 숯불바베큐,농심,2017,가공식품,"과자류, 빵류 또는 떡류",P10354,식약처(가공식품)NFPF,30g,45,0.51,2.31,5.4,0.26,51.43,0,-,0
929,닭다리 후라이드,농심,2017,가공식품,"과자류, 빵류 또는 떡류",P10355,식약처(가공식품)NFPF,30g,45,0.51,2.31,5.4,2.25,43.71,0,-,0
930,더 베터 칩 레드페퍼 앤 살사프레스카,삼경에프에스,2017,가공식품,"과자류, 빵류 또는 떡류",P10356,식약처(가공식품)NFPF,30g,41.79,0.64,1.93,5.14,0.32,36.96,0,-,0
931,더 베터 칩 스위트 어니언 앤 체다치즈맛,삼경에프에스,2017,가공식품,"과자류, 빵류 또는 떡류",P10357,식약처(가공식품)NFPF,30g,41.79,0.64,1.93,5.14,0.32,51.43,0,-,0
932,더 베터 칩 할라피뇨 앤 소금맛,삼경에프에스,2017,가공식품,"과자류, 빵류 또는 떡류",P10358,식약처(가공식품)NFPF,30g,41.79,0.64,1.93,5.14,0.32,48.21,0,-,0
933,더블딜라이트 피넛버터 초콜릿크림 오레오 초콜릿 샌드위치 쿠키 미가방,동서식품,2017,가공식품,"과자류, 빵류 또는 떡류",P10359,식약처(가공식품)NFPF,30g,43.46,0.55,1.75,6.38,1.8,38.41,0.02,-,0.01
934,더블유엘 콘비츠 믹스,주식회사 지지엘,2017,가공식품,"과자류, 빵류 또는 떡류",P10360,식약처(가공식품)NFPF,30g,45,1.54,1.8,5.66,1.21,51.43,0,-,0
935,더블유엘 콘비츠 바베큐향,주식회사 지지엘,2017,가공식품,"과자류, 빵류 또는 떡류",P10361,식약처(가공식품)NFPF,30g,39.86,0.9,1.54,5.79,0.64,39.99,0,-,0
936,더블초코 웨하스,티디에프코리아,2017,가공식품,"과자류, 빵류 또는 떡류",P10362,식약처(가공식품)NFPF,30g,47.06,0.51,2.57,5.66,4.11,11.31,0,-,0
937,덤덤 팝스,㈜코스트코코리아,2017,가공식품,"과자류, 빵류 또는 떡류",P10366,식약처(가공식품)NFPF,10g,4,0,0,1,0.75,0.33,0,0,0
938,데니쉬 마제스틱 버터쿠키,일신국제무역,2017,가공식품,"과자류, 빵류 또는 떡류",P10370,식약처(가공식품)NFPF,30g,45,0.36,2.34,5.76,1.44,18.18,4.5,-,0
939,데니쉬 버터쿠키,㈜유앤아이엔젤스,2017,가공식품,"과자류, 빵류 또는 떡류",P10371,식약처(가공식품)NFPF,30g,45,0.6,2.1,6,2.46,10.5,6,-,0.09
940,데니쉬 버터쿠키,㈜코스트코코리아,2017,가공식품,"과자류, 빵류 또는 떡류",P10372,식약처(가공식품)NFPF,30g,46.8,0.6,2.4,5.7,2.4,17.1,7.2,-,0.12
941,데니쉬 버터쿠키,이멕스무역,2017,가공식품,"과자류, 빵류 또는 떡류",P10373,식약처(가공식품)NFPF,30g,45,0.54,2.16,5.83,2.3,9.9,2.7,-,0.05
942,데니쉬 혼합쿠키,이멕스무역,2017,가공식품,"과자류, 빵류 또는 떡류",P10374,식약처(가공식품)NFPF,30g,44.1,0.52,2.16,5.72,2.41,12.6,0,-,0
943,데데보 토틸라 나초 치즈맛 칩스,로투스베이커리즈코리아㈜,2017,가공식품,"과자류, 빵류 또는 떡류",P10375,식약처(가공식품)NFPF,30g,46.5,0.63,2.34,5.76,0.2,156,9,-,0.09
944,데데보 토틸라 오리지날 칩스,로투스베이커리즈코리아㈜,2017,가공식품,"과자류, 빵류 또는 떡류",P10376,식약처(가공식품)NFPF,30g,46.5,0.63,2.34,5.76,0.2,39.3,3,-,0.09
945,데오 퍼퓸 캔디,플럼박스,2017,가공식품,"과자류, 빵류 또는 떡류",P10377,식약처(가공식품)NFPF,10g,3.67,0,0,0.93,0.75,0,0,0,0
946,데이 바이 데이 요거트 맛,㈜영인코프레이션,2017,가공식품,"과자류, 빵류 또는 떡류",P10378,식약처(가공식품)NFPF,10g,3.57,0.1,0.05,0.71,0.29,4.05,0,-,0
947,데이 바이 데이 크랜베리 맛,㈜영인코프레이션,2017,가공식품,"과자류, 빵류 또는 떡류",P10379,식약처(가공식품)NFPF,10g,3.38,0.05,0.05,0.71,0.29,3.1,0,-,0
948,데이 바이 데이 클래식,㈜영인코프레이션,2017,가공식품,"과자류, 빵류 또는 떡류",P10380,식약처(가공식품)NFPF,10g,3.57,0.1,0.05,0.71,0.24,3.81,0,-,0
949,데이드림스 비스킷,이멕스무역,2017,가공식품,"과자류, 빵류 또는 떡류",P10381,식약처(가공식품)NFPF,30g,43.2,0.52,1.98,5.89,2.03,0,0,-,0
950,데코레이션 쿠키 9,㈜티하스,2017,가공식품,"과자류, 빵류 또는 떡류",P10382,식약처(가공식품)NFPF,30g,45,0.72,2.16,5.76,2.16,28.8,0.36,-,0
951,덴까스 립,㈜태명종합식품,2017,가공식품,"과자류, 빵류 또는 떡류",P10383,식약처(가공식품)NFPF,30g,53.1,0.58,3.73,4.28,4.28,39.6,0,-,0.03
952,덴로쿠 믹스,티디에프코리아,2017,가공식품,"과자류, 빵류 또는 떡류",P10384,식약처(가공식품)NFPF,30g,49.5,1.5,3,4.2,0.5,39,1.8,-,0
953,덴케이크 쿠키,로투스베이커리즈코리아㈜,2017,가공식품,"과자류, 빵류 또는 떡류",P10385,식약처(가공식품)NFPF,30g,46.2,0.51,2.34,5.76,2.25,9,0.81,-,0.03
954,델라비우다 아몬드 틴스,삼경프라자 ,2017,가공식품,"과자류, 빵류 또는 떡류",P10386,식약처(가공식품)NFPF,30g,42,0.6,1.8,6,2.7,58.5,3.3,-,0
955,델로바 블루베리 맛,매크로통상,2017,가공식품,"과자류, 빵류 또는 떡류",P10387,식약처(가공식품)NFPF,30g,44.35,0.47,2.16,5.76,2.88,25.2,0,-,0
956,델리스,매크로통상,2017,가공식품,"과자류, 빵류 또는 떡류",P10388,식약처(가공식품)NFPF,30g,46.8,0.72,2.61,5.04,1.53,36.9,1.8,-,0
957,델리코코,신진사,2017,가공식품,"과자류, 빵류 또는 떡류",P10389,식약처(가공식품)NFPF,30g,54,0,3.96,4.32,6.12,10.8,0,-,0
958,델리코코 크리스피 코코 스파이시,쏠코리아,2017,가공식품,"과자류, 빵류 또는 떡류",P10390,식약처(가공식품)NFPF,30g,54,0,2.99,4.5,3.27,8.18,0,-,0
959,델리코코 크리스피 코코 오리지날,쏠코리아,2017,가공식품,"과자류, 빵류 또는 떡류",P10391,식약처(가공식품)NFPF,30g,54,0,2.99,4.5,3.27,8.18,0,-,0
960,델피 트위스터 스트로베리 향,일신국제무역,2017,가공식품,"과자류, 빵류 또는 떡류",P10392,식약처(가공식품)NFPF,30g,43.8,0.3,1.8,6.6,3.3,37.5,0,-,0
961,델피 트위스터 카푸치노 향,일신국제무역,2017,가공식품,"과자류, 빵류 또는 떡류",P10393,식약처(가공식품)NFPF,30g,43.5,0.6,1.5,6.9,4.2,18,0,-,0
962,도도한나쵸 멕시칸타코 맛,오리온,2017,가공식품,"과자류, 빵류 또는 떡류",P10394,식약처(가공식품)NFPF,30g,144.76,2.49,6.8,19.26,0.2,172.31,0.03,-,0.06
963,도리크림 바닐라,주식회사 블루인터네셔널,2017,가공식품,"과자류, 빵류 또는 떡류",P10395,식약처(가공식품)NFPF,30g,44.29,0.54,1.94,6.11,2.79,0.01,0,-,0
964,도리크림 엑스트라 다크,주식회사 블루인터네셔널,2017,가공식품,"과자류, 빵류 또는 떡류",P10396,식약처(가공식품)NFPF,30g,44.05,0.66,1.99,5.68,2.2,0.02,0,-,0
965,도리토스 나쵸 치즈맛 토틀라 칩스,미성패밀리,2017,가공식품,"과자류, 빵류 또는 떡류",P10397,식약처(가공식품)NFPF,30g,48.21,0.64,2.57,5.46,0.32,67.5,0,-,0
966,도리토스 나쵸 치즈맛 토틀라 칩스,베스트글로벌푸드,2017,가공식품,"과자류, 빵류 또는 떡류",P10398,식약처(가공식품)NFPF,30g,46.29,0.64,2.57,5.14,0.32,67.5,0,-,0
967,도리토스 나쵸 치즈맛 토틸라 칩,예스통상,2013,가공식품,"과자류, 빵류 또는 떡류",P10399,식약처(가공식품)NFPF,28g,41.44,0.56,2.24,4.76,0.28,58.8,0,-,0
968,도리토스 B.O.M.B,롯데제과,2017,가공식품,"과자류, 빵류 또는 떡류",P10400,식약처(가공식품)NFPF,30g,46.8,0.54,2.34,5.76,0.94,62.1,0,-,0
969,도리토스 나쵸치즈 맛,롯데제과,2017,가공식품,"과자류, 빵류 또는 떡류",P10401,식약처(가공식품)NFPF,30g,46.35,0.63,2.43,5.67,0.6,47.7,0,-,0
970,도리토스 쿨렌치 맛,롯데제과,2017,가공식품,"과자류, 빵류 또는 떡류",P10402,식약처(가공식품)NFPF,30g,49.95,0.54,2.43,6.39,0.94,68.4,0,-,0
971,돌고래모양 젤리,㈜뉴토리,2017,가공식품,"과자류, 빵류 또는 떡류",P10403,식약처(가공식품)NFPF,10g,3,0.06,0,0.72,0.6,0.44,0,0,0
972,돌체띠 알라 만돌라,제제파크㈜,2017,가공식품,"과자류, 빵류 또는 떡류",P10404,식약처(가공식품)NFPF,30g,40.2,0.6,0.6,8.1,2.4,1.8,1.5,0,0
973,돌풍감자 스위트칠리 맛,크라운제과,2017,가공식품,"과자류, 빵류 또는 떡류",P10405,식약처(가공식품)NFPF,30g,48.36,0.58,2.66,5.52,0.49,48.69,0.07,-,0.02
974,돌풍감자 허니치즈 맛,크라운제과,2017,가공식품,"과자류, 빵류 또는 떡류",P10406,식약처(가공식품)NFPF,30g,45.7,0.65,2.19,5.86,0.29,35.23,0.24,-,0.02
975,동물모양 버터맛 비스킷,이랜드리테일,2017,가공식품,"과자류, 빵류 또는 떡류",P10407,식약처(가공식품)NFPF,30g,49.24,0.53,3.18,5.29,4.76,34.94,0.53,-,0.26
976,두가지맛 모나카,티디에프코리아,2017,가공식품,"과자류, 빵류 또는 떡류",P10408,식약처(가공식품)NFPF,30g,27.6,0.3,0.15,6.3,1.8,0,0,0,0
977,두리안 크림비스킷,주식회사베스트푸드,2017,가공식품,"과자류, 빵류 또는 떡류",P10409,식약처(가공식품)NFPF,30g,43.5,0.9,1.5,6.6,2.7,27.3,0,-,0
978,두리안 크림비스킷,하나,2017,가공식품,"과자류, 빵류 또는 떡류",P10410,식약처(가공식품)NFPF,30g,43.5,0.78,1.56,6.6,2.7,27.3,0,-,0
979,두부스낵,삼립식품,2017,가공식품,"과자류, 빵류 또는 떡류",P10411,식약처(가공식품)NFPF,30g,34.2,0.54,1.8,4.14,0.83,37.8,1.8,-,0
980,두유맛 웨하스,영남코프레이션,2017,가공식품,"과자류, 빵류 또는 떡류",P10412,식약처(가공식품)NFPF,30g,51.43,0.64,3.21,5.14,4.47,6.43,0,-,0
981,듀베리 블루베리,케이피라인필립스㈜,2017,가공식품,"과자류, 빵류 또는 떡류",P10413,식약처(가공식품)NFPF,30g,40.91,0.41,1.64,6.14,3.27,22.5,2.05,-,0
982,듀베리 스트로베리,케이피라인필립스㈜,2017,가공식품,"과자류, 빵류 또는 떡류",P10414,식약처(가공식품)NFPF,30g,40.91,0.41,1.64,6.14,3.27,22.5,2.05,-,0
983,듀팝스 팝콘,크라운제과,2017,가공식품,"과자류, 빵류 또는 떡류",P10415,식약처(가공식품)NFPF,20g,67.62,1.2,3.75,7.91,0.16,82.32,0.55,-,0.02
984,드롭스 젤리,루시카토,2017,가공식품,"과자류, 빵류 또는 떡류",P10416,식약처(가공식품)NFPF,10g,3.33,0,0,0.86,0.6,0.36,0,0,0
985,디럭스 치즈 샌드위치,지오인터내셔날,2017,가공식품,"과자류, 빵류 또는 떡류",P10417,식약처(가공식품)NFPF,150g,1222.8,19.56,68.48,127.17,7.49,2054.35,0,-,0
986,디럭스 피넛버터 샌드위치,지오인터내셔날,2017,가공식품,"과자류, 빵류 또는 떡류",P10418,식약처(가공식품)NFPF,150g,1125,19.56,48.91,146.74,39.13,1663,0,-,0
987,딕앤제인 에듀케이셔널 스낵 스테이츠 앤 캐피털즈,미성패밀리,2017,가공식품,"과자류, 빵류 또는 떡류",P10419,식약처(가공식품)NFPF,30g,37.8,0.72,1.08,6.48,1.8,25.2,0,-,0
988,딕앤제인 에듀케이셔널 스낵 잉글리쉬 앤 스패니쉬,미성패밀리,2017,가공식품,"과자류, 빵류 또는 떡류",P10420,식약처(가공식품)NFPF,30g,37.8,0.72,1.08,6.48,1.8,25.2,0,-,0
989,딕앤제인 에듀케이셔널 스낵 프레지던트,미성패밀리,2017,가공식품,"과자류, 빵류 또는 떡류",P10421,식약처(가공식품)NFPF,30g,37.8,0.72,1.08,6.48,1.8,25.2,0,-,0
990,딜스 다이제스티브 민트,㈜햅스토어,2017,가공식품,"과자류, 빵류 또는 떡류",P10422,식약처(가공식품)NFPF,30g,37.2,0,0.12,9,1.31,0,0,0,0
991,딜스 민트 진저&라임,㈜햅스토어,2017,가공식품,"과자류, 빵류 또는 떡류",P10423,식약처(가공식품)NFPF,30g,37.2,0,0.12,9,0,0,0,0,0
992,딸기 카스타드,롯데제과,2017,가공식품,"과자류, 빵류 또는 떡류",P10424,식약처(가공식품)NFPF,30g,42.48,0.45,2.43,4.68,2.04,6.66,11.79,-,0.05
993,딸기 크림 오레오 초콜릿 샌드위치 쿠키 미가방,동서식품,2017,가공식품,"과자류, 빵류 또는 떡류",P10425,식약처(가공식품)NFPF,30g,44.3,0.35,1.88,6.5,1.22,34.42,0.04,-,0.01
994,딸기 푸딩,㈜제니코,2017,가공식품,"과자류, 빵류 또는 떡류",P10426,식약처(가공식품)NFPF,100g,87.5,0,0,20,17.78,37.5,0,0,0
995,딸기 구미젤리,다보라유통,2017,가공식품,"과자류, 빵류 또는 떡류",P10427,식약처(가공식품)NFPF,10g,3.3,0.05,0,0.78,0.6,0.18,0,0,0
996,딸기 웨하스,티디에프코리아,2017,가공식품,"과자류, 빵류 또는 떡류",P10428,식약처(가공식품)NFPF,30g,50.76,0.36,2.88,6.12,4.5,21.78,0.18,-,0
997,딸기잼 쿠키,㈜삼진씨앤에프,2017,가공식품,"과자류, 빵류 또는 떡류",P10429,식약처(가공식품)NFPF,30g,42,0.38,1.84,6,2.63,0,0,-,0
998,딸기쿠키,롯데제과,2017,가공식품,"과자류, 빵류 또는 떡류",P10430,식약처(가공식품)NFPF,30g,38.07,0.45,1.26,6.39,3.13,10.26,0.9,-,0.01
999,딸기쿠키,커머스파크,2017,가공식품,"과자류, 빵류 또는 떡류",P10431,식약처(가공식품)NFPF,30g,46.61,0.61,2.25,5.88,1.45,11.57,1.93,-,0
1000,딸기향 스파이럴,㈜뉴토리,2017,가공식품,"과자류, 빵류 또는 떡류",P10432,식약처(가공식품)NFPF,30g,33,0.18,0.36,7.26,5.52,4.98,0,-,0
1001,딸기향 크림 비스킷,㈜제이투코리아,2017,가공식품,"과자류, 빵류 또는 떡류",P10433,식약처(가공식품)NFPF,30g,42,0.3,1.8,6,2.1,13.5,0,-,0
1002,딸기향 타피,㈜씨믹스 ,2017,가공식품,"과자류, 빵류 또는 떡류",P10434,식약처(가공식품)NFPF,30g,36.43,0,0.43,8.14,4.71,0,0,0,0
1003,땅콩 크래커,일신국제무역,2017,가공식품,"과자류, 빵류 또는 떡류",P10435,식약처(가공식품)NFPF,30g,45,0.96,2.13,5.46,2.58,39.6,0,-,0
1004,땅콩 크림 샌드위치 비스킷,㈜씨티트레이딩,2017,가공식품,"과자류, 빵류 또는 떡류",P10436,식약처(가공식품)NFPF,30g,44.72,0.84,1.97,5.91,1.41,56.81,0.06,-,0
1005,땅콩강정,대영식품,2017,가공식품,"과자류, 빵류 또는 떡류",P10437,식약처(가공식품)NFPF,30g,42.53,0.9,1.58,6.19,2.4,21.38,0,-,0
1006,땅콩과 감씨쌀과자,㈜폴라리스,2017,가공식품,"과자류, 빵류 또는 떡류",P10438,식약처(가공식품)NFPF,30g,42.95,1.23,1.6,5.93,0.08,43.77,0,-,0
1007,땅콩과 김말이 쌀과자,㈜폴라리스,2017,가공식품,"과자류, 빵류 또는 떡류",P10439,식약처(가공식품)NFPF,30g,48.24,1.8,2.92,3.74,0.61,43.56,0,-,0
1008,땅콩과 와사비맛 감씨쌀과자,㈜폴라리스,2017,가공식품,"과자류, 빵류 또는 떡류",P10440,식약처(가공식품)NFPF,30g,46.12,1.49,2.37,4.72,0.14,56.03,0,-,0
1009,땅콩꽈배기,농심,2017,가공식품,"과자류, 빵류 또는 떡류",P10441,식약처(가공식품)NFPF,30g,43.88,0.45,1.8,6.53,1.3,14.62,0,-,0
1010,땅콩당과,주식회사베스트푸드,2017,가공식품,"과자류, 빵류 또는 떡류",P10442,식약처(가공식품)NFPF,30g,23.25,1.5,0.6,1.8,0.6,45,0,-,0
1011,땅콩사탕,㈜동양트레이드,2017,가공식품,"과자류, 빵류 또는 떡류",P10443,식약처(가공식품)NFPF,10g,4.33,0.07,0.07,0.87,0.54,0.93,0,-,0
1012,땅콩사탕,엔제이,2017,가공식품,"과자류, 빵류 또는 떡류",P10444,식약처(가공식품)NFPF,10g,4.23,0.05,0.07,0.85,0.75,0.93,0,-,0
1013,땅콩카라멜,크라운제과,2017,가공식품,"과자류, 빵류 또는 떡류",P10445,식약처(가공식품)NFPF,30g,38.39,0.56,1.06,6.64,4.56,5.19,0.05,-,0
1014,한입떡볶이,풀무원,2017,가공식품,"과자류, 빵류 또는 떡류",P10447,식약처(가공식품)NFPF,100g,231,4.9,0.7,51.2,0,0,0,0,0
1015,또띠아칩 스파이시타코 맛,크라운제과,2017,가공식품,"과자류, 빵류 또는 떡류",P10448,식약처(가공식품)NFPF,30g,145.5,2.13,6.06,20.62,0.41,161.39,0,-,0.04
1016,또띨라칩 나쵸 치즈맛,키즈웰,2017,가공식품,"과자류, 빵류 또는 떡류",P10449,식약처(가공식품)NFPF,30g,45,0.6,2.1,6,0.15,54,0,-,0.06
